"XQDdHH","z9E0IG","ZmyHeo","_2NsDsF","MztJPv","_2NsDsF 2","tl9VpF","tl9VpF 2"
"5","Terrific purchase","Very Smooth and handy Mobile bought this Mobile for my wife in BBD sale. S series is always awesome from Samsung. My wife is happy and delighted to use.","Mehboob  Khan","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","At first i was thinking of getting iphone 16 but i thought i would try samsung and luckily i didn't buy an iphone because it is the best phone i have ever used and value for money.","Joyita Mitra","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","Any day better than the iPhone series.The best flagship cellphone in the market. Flipkart is the place to buy it from.","Priyam Kumar","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","The compactness of phone","Ajhar Khan","Certified Buyer","1 month ago","0","0"
"5","Just wow!","It's excellent","Kuldeep","Certified Buyer","1 month ago","0","0"
"5","Terrific purchase","Best in the segment. Value for money phone","Ravindra Chaudhary","Certified Buyer","1 month ago","1","0"
"5","Great product","Best flagship phone under 40k.. Absolutely value for money product.","Pallab Rajbongshi","Certified Buyer","1 month ago","1","0"
"5","Classy product","Amazing","Chhotan singh  Prince","Certified Buyer","1 month ago","1","0"
"5","Brilliant","Superb.","Saheb Bhalkundi","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Classy product","processor 10/10camera 10/10display 10/10battry 8/10very light","Anand Dhiman","Certified Buyer","1 month ago","1","0"
"5","Simply awesome","Good","Abhijeet Kumar Gupta","Certified Buyer","1 month ago","1","0"
"5","Brilliant","Compact beast I must say. It's sleek stylish holds a character. Each it anything and it will handle.Pros:1. One UI ,the customization features and the UI experience is just unbeatable. 2. Performance is top notch 3. Display is just lobh. What a color representation 😍. 4. Camera quality is very good in photography and good in videography.5. Haptic feedback implementation in UI is great.Not so pro:Just the battery is a little concerned point for this beast it last a whole day but if...","Sangramjit  Deb","Certified Buyer","1 month ago","1","0"
"5","Excellent","Good.","Dalvir Singh","Certified Buyer","1 month ago","1","0"
"5","Just wow!","Best phone 🤳","Manish Mondal","Certified Buyer","1 month ago","1","0"
"5","Great product","Overall great with snapdragon battery goes till whole day.Camera awesome with multpiple features.Battery goes all dayDisplay full clear no issueDesign sleek and slimPerformance is awesome Ui is clean5g coverage is good.Review after 8 days of overall use.Will update review when using more.","pavan teli","Certified Buyer","1 month ago","1","0"
"5","Great product","It's a great device.The UI is really smooth.The camera is amazing.The battery life is just okay.","Aayush Saini","Certified Buyer","1 month ago","1","0"
"5","Terrific","Best phone ever i dont like games...normal uses superb","Aman","Certified Buyer","1 month ago","1","0"
"5","Classy product","The Samsung S24 is a compact and powerful phone with a top-tier display, strong performance for most daily tasks and gaming, and useful AI features. Key highlights include its compact design, bright and vivid screen, and improved performance, although some users miss the lack of an SD card slot and find certain AI features are less consistent or might require a subscription in the future. 📱✨ Display, Performance, Design, Phone, Features. #SamsungS24 #Smartphone #TechReview","Banshidhar Meena","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","Used 1 day, so far fantastic. One suggestion i can give is that please use screen protectors suitable for finger print sensor. Since phone has an ultra sonic sensor to scan fingerprint make sure you purchase from samsung compatible one. Everything's else is superb loved it.","Jeyadev Meka","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Great product","This is completely a flagship phone number I loved it...Here the point is about battery which is quiet gives less battery backup","Sibananda  Sahoo","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","Good camera Good performance Good looking Compact design Good inhandfeel Good display Battery ok 5 to 6 hour screen on time","Ramnaresh Raikwar","Certified Buyer","1 month ago","0","0"
"5","Worth every penny","Exellent mobile","Shahbaaz Shahbaaz","Certified Buyer","1 month ago","1","0"
"5","Must buy!","The ultimate beast in the price segment. The snapdragon processor was well integrated and made it even more better deal. Thanks samsung for changing the processor.","manidesh panchada","Certified Buyer","1 month ago","1","0"
"5","Awesome","Great phone with great price by flipkart","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","The best.","Deepak S","Certified Buyer","1 month ago","1","0"
"5","Fabulous!","Nice phone with photo clarity and feels lighter on hand. 🙂","Junaid Khan Lavani","Certified Buyer","1 month ago","0","0"
"5","Fabulous!","Day camera.. ❤️But night camera needs improve ment. Display,performance is outstanding. Battery back up normal.","Arijit Das","Certified Buyer","1 month ago","1","0"
"5","Super!","Is mobile phone is the best mobile phone in 2025","SK SANAUL","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","Great compact device... only that RAM could have been higher. But overall performance is just superb 🙂","Vineet Kandar","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Brilliant","Good product for daily usages","sunil kumar patel","Certified Buyer","1 month ago","1","0"
"5","Best in the market!","Very good display and performance Got Oneui8 update and looks goodCamera :Takes Good photos(especially best portraits) Samsung seems to downgrade camera after upgrade or somethingBattery :Poor battery backup for first 4days after that it learnt the usage pattern and now it's good.Having 5-6h SOT**Light performance profile ✅️*Adaptive Power Saving ✅️Moderate user it simply lasts full day with (90% to 20%)","Ganesh Kumar","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Nice mobi","Chandan chakrabarty","Certified Buyer","1 month ago","1","0"
"5","Worth every penny","Everything is fine but battery should be 5000 mah then this will be awesome","Hoshiyar  Singh","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Camera performance is so good 👍","Shabaj sha","Certified Buyer","1 month ago","1","0"
"5","Super!","Amazi","Rinki Kumari","Certified Buyer","1 month ago","1","0"
"5","Classy product","Best compact flagship phone❤️❤️. The camera is outstanding and the dynamic range is pretty good. Top notch performance with SD 8 gen 3 and awesome display. Played BGMI and Genshin Impact and it handled smoothly. Design also looks premium and One UI is highly optimised📱. Only issue with small battery size. It could have been better.","Narayan Tripathy","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","All perfect except battery life","Ritwij Mishra","Certified Buyer","1 month ago","0","0"
"5","Brilliant","Nice phone easy to carry exilence camra performance are good.","Tarsem Masih","Certified Buyer","1 month ago","0","0"
"5","Super!","Heat issues and battery very fast low and anything mostly good","Lucky Ram","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Awesome","Camera is good. UI 8 is amazing. Haptics are great. Looks are awesome.Everthing is excellent. Even battery is also good. Would have been great if they start giving adapters too.","Jagdeep Bhardwaj","Certified Buyer","1 month ago","1","0"
"5","Fabulous!","Nice phone Bettry back up is well n good 👍 Display quality unexpected performance 😍One handy use🫡","Harshid  Prajapati","Certified Buyer","1 month ago","0","0"
"5","Classy product","Beter but battery backup and mobile heat higher","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Brilliant","Value for moneyFor anyone who needs the flagship featuresThe only trade-off is a smaller battery and slight heating issues","وسیم میر","Certified Buyer","1 month ago","0","0"
"5","Simply awesome","I loved the phone very much. I bought this phone for 38k during bbd and it is worth buying. Camera is superb display feels great. Great performance and premium design in hand feel is awesome. But the only thing that may concer you is the battery. The battery used to drain fast and it has heating issue also. The phone gets heated easily yaah it cools down immediately so not a big concern.In a simple word if you are searching for a good camera and a compact phone go for this one with out any ...","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Highly recommended","Nice","Mongor Pabin","Certified Buyer","1 month ago","0","0"
"5","Worth every penny","Amazing, loving it!Great value for money phone","Godwyn Francis","Certified Buyer","1 month ago","0","0"
"5","Perfect product!","Love it","Satinderjit Singh","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","Good","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Just wow!","Premium design, geart camera quality, battery is draining fast, phone heats very fast while  videocalling","Sneha Tripathi","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Simply awesome","User friendly looking so elegant","MANJUSHA G","Certified Buyer","1 month ago","0","0"
"5","Must buy!","Its simply best build quality must b improved but still not drop test done its look simply best battery its not longer full day camera its superb display is over the top overall best phone","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Awesome","Fantastic 😻","Subhajit Mondal","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","Love, it every thing is perfect and I am obsessed with the ai feature and camera.Best phone","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Must buy!","Value for money phone","Kanet Hiren","Certified Buyer","1 month ago","0","0"
"5","Excellent","Device performance is as expected.....Thank you Flipkart for nice product....thank you so much ❤️","Prasad Naik K Krishna Naik","Certified Buyer","1 month ago","0","0"
"5","Mind-blowing purchase","Overall a really good phone.","Vivek Pandey","Certified Buyer","1 month ago","0","0"
"5","Terrific purchase","The best compact flagship in the market without breaking the wallet..period.","Sandipan Samanta","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","On of my best decision.","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Brilliant","Highly recommended Special in 40k budget","sourav jana","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Terrific","Good one","Sachin Yadav","Certified Buyer","1 month ago","0","0"
"5","Worth every penny","Good after two days use 👍 gr8","Ish kumar  Boora","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","The battery is low for me rather every thing is good camera is ultimate video and photoes but in low light slight struggle but not so much the 8k captures unbelivable details every thing is good","Haarish T","Certified Buyer","1 month ago","0","0"
"5","Terrific purchase","The product is insane, everything about this phone is good except the battery. I'm a normal user, just play games some times, and I charge the phone twice a day, the battery could have been better... but one plus point is its charging speed, it charges soo fast, other than that everything is super fine, all good, definitely worthy for money","Hrishi Mahato","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","Very good phone but battery issue and the performance is very great and also the camera best camera phone in this price point just need to take a look on camera and this phone is for compact phone user","Pankaj Kumar","Certified Buyer","1 month ago","1","0"
"5","Wonderful","Good product.And delived me with cash on delivery option thank u flipkart","Prem Kumar","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","Nice phone, it is very fast working with snapdragon 8, nice camera looks is very good.","Vijender Kumar","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","Superb Phone, battery easily lasts 1 day in normal use , I upgraded from m30s","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Great product","Thanks flipkart for amazing deal","Vikram Jeet","Certified Buyer","1 month ago","1","0"
"5","Classy product","Good","Adnan Yaseen","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Best in the market!","Amazing experience overall except battery","Ayush Kumar","Certified Buyer","1 month ago","0","0"
"5","Highly recommended","Gaming Beast camera beast very good phone","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Great product","Everything is amazing except the battery","Nirmalya  Deb","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Super 👌mobile","Deva Bushan","Certified Buyer","1 month ago","1","0"
"5","Super!","Am happy with the product thanks u flipkart","Gmuan Simte","Certified Buyer","1 month ago","1","0"
"5","Classy product","Excellent camera 10/10 Performance 10/10Design 10/10Battery 8/10Display 10/10","Daksh Zuvatkar","Certified Buyer","1 month ago","1","0"
"5","Simply awesome","Pretty good and cute mobile 😍 very less weight and superb performance 💥","Veeru Kattula","Certified Buyer","1 month ago","0","0"
"5","Just wow!","Good but battery is not enough and heatig issue","Nitheesh Kumarpa","Certified Buyer","1 month ago","1","0"
"5","Just wow!","Great phone in hand feel  also rich but batter 10to 12 hour","Amit Dwivedi","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","Excellent","Dinesh freak","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Great product","Given 5 star for all the features, performance and batteryGo for it without any doubt","Goel Rahul","Certified Buyer","1 month ago","1","0"
"5","Worth every penny","Awesome phone,Go for it😍","PRIYABRATA MONDAL","Certified Buyer","1 month ago","0","0"
"5","Fabulous!","Perfect MobileBut battery issue But overall best","Siddesh Patil","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","Best in its category. Supreme camera and marvelous design.","Vikas Deshmukh","Certified Buyer","1 month ago","1","0"
"5","Simply awesome","Amazing 👏","Alka  Sultana","Certified Buyer","1 month ago","1","0"
"5","Worth every penny","Got the Snapdragon 8 gen3, 256 GB varaint in Black color and it's a beast...Absolutely fluent performance with handy and compact feel and Amazing Cameras.","Satyam Sharma","Certified Buyer","1 month ago","1","0"
"5","Wonderful","Good product If it has 5000mah battery it would be a blockbuster deal","ravi ranjan kumar","Certified Buyer","1 month ago","1","0"
"5","Super!","Nice one under 45k","Vinay Kumar","Certified Buyer","1 month ago","0","0"
"5","Brilliant","Nice device as expected from Samsung. All great so far.For those of you facing battery drain issue, use power mode and use standard display mode.","Bhagyashree Walikar","Certified Buyer","1 month ago","1","0"
"5","Fabulous!","Display outstanding design very good battery performance Everes and camera superb performance crazy 👍👍","Anuwar Hussain","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Wonderful","Better then iphone 16.. must buy guys .💗","Ashish Kumar","Certified Buyer","1 month ago","0","0"
"5","Simply awesome","Lovely phone","Arpit sharma","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","All good","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Wonderful","Best phone ... everything is best camera superb ...I'm satisfied with samsung","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Awesome","Amezing phone","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Terrific","Fantastic performance","Harish  Dube","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Nice perfection.","Hansraj  दोस्त","Certified Buyer","1 month ago","0","0"
"5","Great product","Poweful mobile with compact size","Karthick Ravichandran","Certified Buyer","1 month ago","1","0"
"5","Perfect product!","Phone is very Handy. Feel Premium after Keeping in Hand","Satyajit  Lenka","Certified Buyer","1 month ago","0","0"
"5","Mind-blowing purchase","Seriously color is too much good and phone is awesome 😎","Akash Chakraborty","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Simply awesome","Here is the detail review after using 1 week Camera : 4/5 Battery: 4/5UI : 4.5/5PERFORMANCE : 5/5Design : 5/5Display : 5/5 The camera in day is mind-blowing but there is noise in night. The battery backup in good. I have read some review mentioning that battery heat while charging. Every mobile gets heat while charging. UI is one of the best but there is some issue that there is no option for internet speed in status bar and you can't use three finger for taking Screenshot. Performan...","Sonu  Singh","Certified Buyer","1 month ago","1","0"
"5","Awesome","Camera is amazing","Aditya pratap Singh","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","Great compact flagship. If you can deal with a not-so-capable battery, it's a damn fine phone","Damodhar Chanamalla","Certified Buyer","1 month ago","1","0"
"5","Terrific","Best smartphone i have ever used","Vansh Agarwal","Certified Buyer","1 month ago","1","0"
"5","Terrific","It's more than what I have expected S24 is very compact phone which everybody like to use and experience. I don't have plan to buy any mobile for next 5 years","Naveen","Certified Buyer","1 month ago","1","0"
"5","Simply awesome","No other phone can even come close at this price point. Compared it with I phone and genuine both perform differently in different light conditions. I u want Ai and better Ui and display + performance go for it. If u want better video quality then go for iPhone. The camera is basically a tie.","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"5","Super!","Best camera ever. Go for this.","Aditi Dey","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","best phone you can buy under 40000. performance is mind blowing it can handle heavy gaming and any day-to-day task you throw at it smoothly, Ui is very smooth with every customization you can think of,build quality is premium as expected from samsung S series phone,I know battery life is less but it can last around 5-6 hours of screen time which is enough for my usage, but it support 25w fast charging which takes around 80-90 min to full charge it from 0-100,","Kanan  Koshti","Certified Buyer","1 month ago","0","0"
"5","Simply awesome","Best camera Best features Battery ok ok Best Ai","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Worth every penny","More than expected very nice phone","Gopika  V Nair","Certified Buyer","1 month ago","0","0"
"","","","","","","",""
"5","Mind-blowing purchase","Ossum phone with great design ,display and most highleted camera","Puspendu Dinda","Certified Buyer","1 month ago","1","0"
"5","Classy product","It's good phone classy 😊 worth it like iPhone not think just buy it","sachin kumar","Certified Buyer","1 month ago","0","0"
"5","Brilliant","Beyond expectations","Dattatraya Katkhade","Certified Buyer","1 month ago","1","0"
"5","Fabulous!","Perfect from All angles","Rafe Ashraf","Certified Buyer","1 month ago","1","0"
"5","Fabulous!","Super 😊","sromeosibasankar sibasankarromeos","Certified Buyer","1 month ago","0","0"
"5","Awesome","It is perfect phone","Neeraj A","Certified Buyer","1 month ago","1","0"
"5","Terrific","Samsung s24 is amazing, best of display, camera quality and design, compect phone. Battery could be bigger but its alright. Amzing sound system with dolby atoms and 120hz refresh rate, samsung AI is top notch","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"5","Highly recommended","Awesome picture 🤩🤩🤩","Sritam Ppp","Certified Buyer","1 month ago","1","0"
"5","Mind-blowing purchase","I always prefer samsung android phones. This s24 is having a snapdragon 8 gen processor maes it feel a premium and aboveall it's camera performs way above . In nutcell I liked it.","Indranath Bhattacharya","Certified Buyer","1 month ago","1","0"
"5","Terrific purchase","Nice phone, cobalt toilet is good colour. If you like this colour go for it. No photos on internet exactly like real life colour. Many people may don't like this colour, because they may not see this in real life. But in reality this is great colour option. Thank you.","Vipin Maurya","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"5","Super!","The Galaxy S24 feels compact, bright, and modern with its flat display and strong build.Its main drawbacks are the slower charging speed and only average battery size.","Gurusewak singh","Certified Buyer","1 month ago","1","0"
"5","Wonderful","Fully recomended this phone.","Deepak Sharma","Certified Buyer","2 months ago","1","0"
"5","Just wow!","The S24 (snapdragon) variant is excellent the main highlight is it's compact design and performance but the problem is it's heating issue (normal in compact phones)and low battery backup 4000mah but allover a good smart phone excellent choice for the user with not too much screen time also gives 120fps in bgmi amazing","Flipkart Customer","Certified Buyer","2 months ago","1","0"
"5","Must buy!","Good Phone","Sreehari Narayanan","Certified Buyer","2 months ago","1","0"
"5","Highly recommended","It's premium, handy and the screen doesn't feel small. Snapdragon 8 gen 3 is very good.","Rajat Raha","Certified Buyer","2 months ago","1","0"
"5","Super!","best camera phone.  and i got snapdragon 8gen3  variant  thats why best performance compact phone....","Sachin Kumar","Certified Buyer","2 months ago","1","0"
"5","Worth every penny","Value for money... Only con is battery but ok for minimal gaming ...Love it such a premium feel in hand","Thilip","Certified Buyer","2 months ago","1","0"
"5","Just wow!","Just wow phone...little disappointed from camera but its not big issue its still gives best in class photography...loved the phone","Jay Chavda","Certified Buyer","2 months ago","1","0"
"5","Simply awesome","Recieved today. Initial impressions. Good. Will update again after proper use.","ABDUL SATTAR","Certified Buyer","2 months ago","0","0"
"5","Excellent","Superb performance as always!. Working perfectly after one month. No heating issue as expected for Exynos. Initially we may feel some warmth. Don't worry. Afterwards, it will do all its jobs silently. Excellent camera performance as well as integrated AI functions.","RAJESH T RAMANAN","Certified Buyer","4 months ago","0","0"
"","","","","","","",""
"5","Simply awesome","Camera like wow 😙 🥰🫠🤩😘","PÙBG BØY ÁSHÌK","Certified Buyer","8 months ago","0","0"
"5","Worth every penny","Great experience","KRUNAL PATEL","Certified Buyer","9 months ago","1","0"
"5","Super!","One of the best buys in Android mobile phones. Absolutely in love","Subash Kumar","Certified Buyer","10 months ago","0","0"
"5","Brilliant","Nice looking","Arpit VERMA","Certified Buyer","Nov, 2024","1","0"
"4","Fair","Severe heating issue","rachit  Peshawaria","Certified Buyer","1 month ago","2","0"
"4","Worth the money","This price good phone","Mohit  Yadav","Certified Buyer","2 months ago","2","1"
"4","Wonderful","Overall performance is good.Only problem is battery drain quickly","Alok yadav","Certified Buyer","7 days ago","1","0"
"4","Value-for-money","It's camera, galaxy AI features,circle to search,high peak brightness, telephoto camera,more customization options, display,samsung inbuit apps,privacy features, sound quality i could say I'm obsessed with samsung.. i wanted to buy i phone but i don't know why i bought this...and i can say this is the best and worthy decision i've made so far...","Flipkart Customer","Certified Buyer","8 days ago","1","0"
"4","Pretty good","Overall good but battery was decent","NAVIN KUMAR SAHU","Certified Buyer","10 days ago","1","0"
"4","Very Good","Nice phone, loved the design, Processor and camera are great too, Performance is great for higher end games too, the only problem is that battery drains pretty fast, for heavy use you could get a 4 hrs backup, for normal use it extends to 6 to 7 hrs, Overall liked the design and in hand feel is premium...But phone heats while shooting a video, thats a minor issue, though no lags... U can go for it but only if you aren't a person who's onto using the phone continuously for 8 - 9 hrs ( which of...","Ranu Acharjee","Certified Buyer","23 days ago","1","0"
"","","","","","","",""
"4","Worth the money","Battery km Chal ti h over all good","TEJPAL YADAV","Certified Buyer","1 month ago","1","0"
"4","Wonderful","A little camera use and your phone turns into a volcano","Pritam Ydv","Certified Buyer","1 month ago","1","0"
"4","Pretty good","Product is good but just hyped for this range.","Manoj Kumar","Certified Buyer","1 month ago","1","0"
"4","Worth the money","The only drawback in this phone is the battery backup.","Avinash Sharma S","Certified Buyer","1 month ago","1","0"
"4","Worth the money","Mobile is very handy and compact, glass body is solid but it's have heating issue. It's overheating for no reason.  Samsung have to improve it's cooling technology","Ajit Chavan","Certified Buyer","1 month ago","1","0"
"4","Wonderful","Good","mohammed  maaz","Certified Buyer","1 month ago","0","0"
"4","Value-for-money","Photo quality is mind blowing. But video quality need to be more natural. It makes the video more contrast. Overall good only","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"4","Good choice","The is phone is really excellent. But its battery is the worst i would say, if you're an even moderate user, think thrice before buying this phone. If you go out for a prolonged time, always have a fully charged powerbank with you. This is definitely not for high performance users. Camera is really good at this price, while its battery is horrible.  If you have another phone that can be good.","Tamalika Sil","Certified Buyer","1 month ago","0","0"
"4","Worth the money","Battery of this phone makes me sad.All other department of this phone is top notch.","Karan","Certified Buyer","1 month ago","0","0"
"4","Value-for-money","Good product","Ajmeer Aju","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"4","Really Nice","Earlier I used to use s23, I liked it very much, now s24 comes with Snapdragon 8gen3","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"4","Value-for-money","The product is good as expected.The screen is awesome Am enjoying it, thanks flipkart","Aakash H","Certified Buyer","1 month ago","0","0"
"4","Delightful","Awesome","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"4","Value-for-money","One of my best buys ever, super happy","Vincent Selvaraj","Certified Buyer","1 month ago","0","0"
"4","Wonderful","Glad 4 the product,but company should at least  provide a back cover fot it !!","Pritam Biswal","Certified Buyer","1 month ago","1","0"
"4","Nice product","Except the battery life the phone is phenomenal. It doesn't feel like a nearly two year old model by any means..","Souvik Roy","Certified Buyer","1 month ago","1","0"
"4","Wonderful","ALL SET but battery can be better","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"4","Wonderful","So cute mobile because the size 6.2 inch","Nur  Hussain","Certified Buyer","1 month ago","1","0"
"4","Worth the money","A great compact device The battery is a little disappointing but it's a perfect mobile, the size , the performance every thing is perfect.","Dharmik Raval","Certified Buyer","1 month ago","1","0"
"4","Nice product","Review afte10 days.1. Design fantastic2.performance superb3 camera boomBattery backup 4-5 sot","A k","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"4","Wonderful","Good","Vanshika Juneja","Certified Buyer","1 month ago","1","0"
"4","Wonderful","Awesome Phone uh can go fot it !! Feel like Satisfaction 😉","Mansub Jamal","Certified Buyer","1 month ago","1","0"
"4","Value-for-money","Value of money . Mobile is actually good but battery performance may be better . Camera quantity is not good for dim light .","Gaurav Yadav","Certified Buyer","1 month ago","1","0"
"4","Good choice","Very nice product. It's value for money. It's already updated to ANDROID 16 and UI 8. 👍","Adv Suresh  Desai","Certified Buyer","1 month ago","1","0"
"4","Value-for-money","No.1 phone use  smouth Covlty best","Rohilla Ji","Certified Buyer","1 month ago","0","0"
"4","Delightful","This mobile is awesome","Mohd Aarif Iqbal Memon","Certified Buyer","1 month ago","1","0"
"4","Very Good","There are no words, it is a very good phone","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"4","Pretty good","Awosome product","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"4","Value-for-money","Perfect compact phone. Good in all aspects except the battery","Sabari Nath U","Certified Buyer","1 month ago","0","0"
"4","Really Nice","Overall good. Buy with screengurd and back cover. Paint will be going easily. Battery is very poor.","Divin  Poulose","Certified Buyer","1 month ago","1","0"
"","","","","","","",""
"4","Delightful","it have better camera,but with respect to that battery is too low so some times it gives heating issues But overall performance is good","Ritesh Chougule","Certified Buyer","1 month ago","1","0"
"4","Delightful","Top notch performance in this price range and one ui is so smooth","sagar adahalli","Certified Buyer","1 month ago","0","0"
"4","Really Nice","Superb camera 📷 Top notch display 👌 Best performance 👏 Battery thik thak 🙌","Md Amanullah","Certified Buyer","1 month ago","1","0"
"4","Good choice","Good as how is use and handle...","Acton 46","Certified Buyer","1 month ago","1","0"
"4","Pretty good","Loved the Design","Abhishek Yadav","Certified Buyer","1 month ago","0","0"
"4","Very Good","Good mobile..only con is turbo charge tecnology not supported..only 25 fast charging.","Flipkart Customer","Certified Buyer","1 month ago","0","0"
"4","Good choice","Nice","Akshay Patil","Certified Buyer","1 month ago","1","0"
"4","Good quality product","This is amazing","Aslam Patel","Certified Buyer","1 month ago","0","0"
"4","Very Good","There is something fishy, i checked my warranty and it shows phone open before 55 days. Although i didn't find anything which can prove that this phone was used. Just got is 2 days ago. The display of this phone is top-notch,  cameras you need to use them so you can get ideas of it and you will learn how to click best. The phone gets warm while using cameras. The UI is best in class. The battery is ok, you need to charge it two times in a day. I'm a normal user and i didn't play any games y...","Flipkart Customer","Certified Buyer","1 month ago","1","0"
"4","Very Good","Phone is pre activated 31 days","Flipkart Customer","Certified Buyer","2 months ago","0","0"
"","","","","","","",""
"4","Pretty good","good","Aditya  Singh","Certified Buyer","2 months ago","0","0"
"4","Worth the money","Camera  is good ,performance is also good ,I am not satisfied with  battery  soon  draining  out  ,phone getting heated.","Somashekar C","Certified Buyer","8 months ago","1","0"
"4","Worth the money","Using this phone more than a month. Excellent performance. Ultimate camera. Everything is great, except speakers, speakers is very bad.","Raghul","Certified Buyer","8 months ago","0","0"
"3","Fair","Battery performance is poor apart from battery for all specifications mobile is good","Sai Ganesh","Certified Buyer","1 month ago","2","0"
"3","Fair","Main camera is not good, images got blur and break when we do","Salman Ahmed","Certified Buyer","1 month ago","1","0"
"3","Does the job","All good except battery","Srinivasu Douluri","Certified Buyer","1 month ago","3","0"
"5","Just wow!","product is very good. open box delivery, so its new one. checked imei number to confirm it is not pre-activated before telling otp. installed Cpu z to cjeck if the processor is of Snapdragon 8Gen3. over all decent phone. i used iphones for last 13 yrs and this seems good.finally regd charger, i brought orihinal samsung 25W fast charger in sale. i am able to fast charge it to whole 25w usb c laptop charger, without any issues. thing is dont chicken out on charger and buy a cheap one. buy s...","Pavansai  Nadella","Certified Buyer","1 month ago","2","2"
"3","Decent product","Overall okay. It's a compact phone with a small screen. Software experience is very good. But it will really disappoint you if you are looking for a good camera. It's not a flagship camera phone.. Not good for Indoor and night photography.","Devender Sharma","Certified Buyer","1 month ago","4","2"
"3","Does the job","Back Camera quality not that much good. Battery  is not good","Mahesh Sargar","Certified Buyer","1 month ago","15","18"
"5","Wonderful","Extremely good phone . Planning to gift a similar phone to VIP jiju but he only likes iphone pro max models .How should i convince him ?","shivam harlalka","Certified Buyer","1 month ago","5","11"
"","","","","","","",""
"5","Awesome","Nice product. Happy with the item along with FlipKart, Seller and Delivery. Open box delivery  and the eKart delivery boy awaited until the product is checked and found ok. Battery backup is more than expected. Camera quality is great.","DIPANKA BORA","Certified Buyer","Nov, 2024","2","3"
"5","Highly recommended","So far so good.I was very sceptical about the quality and authenticity of the product. Device itself is very good and working fine till now .it comes with an average battery life for normal user.","Rakesh Kumar","Certified Buyer","30 days ago","1","1"
"5","Classy product","Fantastic, fabulous, mind blowing. Everything is top notch 👌","Abhishek  Singh","Certified Buyer","1 month ago","1","1"
"5","Classy product","Great phone with Amazing camera, display and performance. The only downside is its battery, it's a solid 4.5/5.","Shubham","Certified Buyer","1 month ago","1","1"
"5","Fabulous!","The phone is lit🥵👌💥 for moderate users(6-8hr)with wonderful performance.","Kiran","Certified Buyer","1 month ago","1","1"
